scope,method_code,method_name,asin,status,status_reason,sample_count,mad,poa,mae,wape,bias
day_pbf_3,M04,Moving Average,B0DC5YLJRS,success,,3,25.666667,260.416669,25.666667,1.604167,1.604167
day_pbf_3,M04,Moving Average,B0DCBZNM8W,success,,3,0.444444,133.33335,0.444444,0.666667,0.333334
day_pbf_3,M04,Moving Average,B0DCP1XYK4,success,,3,1.555555,566.6666,1.555555,4.666666,4.666666
day_pbf_3,M04,Moving Average,B0DCP2WVH3,success,,3,3.444445,214.814822,3.444445,1.148148,1.148148
day_pbf_3,M04,Moving Average,B0DCVTRSYL,success,,3,0.888889,126.66666,0.888889,0.533333,0.266667
day_pbf_3,M04,Moving Average,B0DCZJKKYZ,success,,3,1.111111,100.0,1.111111,1.666667,0.0
day_pbf_3,M04,Moving Average,B0DDXTK193,success,,3,8.0,126.666667,8.0,0.8,0.266667
day_pbf_3,M04,Moving Average,B0DHCDYQVV,success,,3,0.888889,140.0,0.888889,0.533333,0.4
day_pbf_3,M04,Moving Average,B0DHTTFSQF,success,,3,0.666667,150.0,0.666667,0.5,0.5
day_pbf_3,M04,Moving Average,B0DJMQ6FB4,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M04,Moving Average,B0DJMQX75K,success,,3,5.888889,176.470594,5.888889,1.039216,0.764706
day_pbf_3,M04,Moving Average,B0DK14LJ9K,success,,3,1.333333,100.0,1.333333,0.8,0.0
day_pbf_3,M04,Moving Average,B0DK15J8C9,success,,3,2.222222,128.571443,2.222222,0.952381,0.285714
day_pbf_3,M04,Moving Average,B0DKG3TVMZ,success,,3,1.333333,166.6667,1.333333,2.0,0.666667
day_pbf_3,M04,Moving Average,B0DLNMRGYD,success,,3,1.0,44.444467,1.0,1.0,-0.555555
day_pbf_3,M04,Moving Average,B0DM8RK8CH,success,,3,0.222222,0.0,0.222222,0.0,0.0
day_pbf_3,M04,Moving Average,B0DM97W294,success,,3,0.666666,116.666675,0.666666,0.5,0.166667
day_pbf_3,M04,Moving Average,B0DM98MJSS,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M04,Moving Average,B0DPWVZHKF,success,,3,7.888889,151.449274,7.888889,0.514493,0.514493
day_pbf_3,M04,Moving Average,B0DPWXX689,success,,3,8.777778,136.752136,8.777778,0.675214,0.367521
day_pbf_3,M04,Moving Average,B0DPYJH6WZ,success,,3,0.222222,133.33335,0.222222,0.333334,0.333334
day_pbf_3,M04,Moving Average,B0DR291RSW,success,,3,0.555555,183.3333,0.555555,0.833333,0.833333
day_pbf_3,M04,Moving Average,B0DSFP2PGQ,success,,3,0.444444,99.9999,0.444444,1.333333,-1e-06
day_pbf_3,M04,Moving Average,B0DSVFNL6H,success,,3,1.777778,100.000014,1.777778,0.761905,0.0
day_pbf_3,M04,Moving Average,B0DT99PJPD,success,,3,1.444444,88.8889,1.444444,1.444444,-0.111111
day_pbf_3,M04,Moving Average,B0DXFBCP4K,success,,3,9.222222,103.703704,9.222222,1.024691,0.037037
day_pbf_3,M04,Moving Average,B0DYV6LF8B,success,,3,9.222222,238.333335,9.222222,1.383333,1.383333
day_pbf_3,M04,Moving Average,B0DYV7F7FY,success,,3,15.0,236.363636,15.0,1.363636,1.363636
day_pbf_3,M04,Moving Average,B0F18RMRNM,success,,3,4.888889,114.285714,4.888889,1.047619,0.142857
day_pbf_3,M04,Moving Average,B0F1MXTY5G,success,,3,1.444445,172.222233,1.444445,0.722222,0.722222
day_pbf_3,M04,Moving Average,B0F1T6XX5W,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M04,Moving Average,B0F216G4LP,success,,3,1.111111,55.555533,1.111111,1.111111,-0.444445
day_pbf_3,M04,Moving Average,B0F29BPRS9,success,,3,0.666667,200.0,0.666667,1.0,1.0
day_pbf_3,M04,Moving Average,B0F2FL8VTC,success,,3,2.333333,96.296289,2.333333,0.777778,-0.037037
day_pbf_3,M04,Moving Average,B0F2SXBWND,success,,3,2.555556,66.66666,2.555556,1.533333,-0.333333
day_pbf_3,M04,Moving Average,B0F387V2TP,success,,3,2.222222,116.66665,2.222222,1.666667,0.166667
day_pbf_3,M04,Moving Average,B0F38CVQNL,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M04,Moving Average,B0F48124VG,success,,3,0.555555,66.6666,0.555555,1.666666,-0.333334
day_pbf_3,M04,Moving Average,B0F484FL35,success,,3,1.333333,128.571429,1.333333,0.571429,0.285714
day_pbf_3,M04,Moving Average,B0F5PM7CBH,success,,3,0.555555,66.6666,0.555555,1.666666,-0.333334
day_pbf_3,M04,Moving Average,B0F6V5H17H,success,,3,0.333333,0.0,0.333333,0.0,0.0
day_pbf_3,M04,Moving Average,B0F888CXTR,success,,3,0.666667,0.0,0.666667,0.0,0.0
day_pbf_3,M04,Moving Average,B0F8Z879Y3,success,,3,0.111111,0.0,0.111111,0.0,0.0
day_pbf_3,M04,Moving Average,B0F93D1V91,success,,3,5.444444,143.859647,5.444444,0.859649,0.438596
day_pbf_3,M04,Moving Average,B0F99LQHP9,success,,3,0.333333,150.0,0.333333,0.5,0.5
day_pbf_3,M04,Moving Average,B0F9YKQD75,success,,3,1.0,138.8889,1.0,0.5,0.388889
day_pbf_3,M04,Moving Average,B0FCSCBJGB,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M04,Moving Average,B0FDQS6NY4,success,,3,2.222222,166.666667,2.222222,1.111111,0.666667
day_pbf_3,M04,Moving Average,B0FFMV6VR2,success,,3,0.444444,99.9999,0.444444,1.333333,-1e-06
day_pbf_3,M04,Moving Average,B0FFSZ4MGN,success,,3,0.555556,44.444433,0.555556,0.555556,-0.555556
day_pbf_3,M04,Moving Average,B0FG7LXJCL,success,,3,1.0,66.666667,1.0,1.0,-0.333333
day_pbf_3,M04,Moving Average,B0FG7M4HR5,success,,3,1.666667,150.0,1.666667,0.833333,0.5
day_pbf_3,M04,Moving Average,B0FG7RTH25,success,,3,0.888889,140.0,0.888889,0.533333,0.4
day_pbf_3,M04,Moving Average,B0FG88HKMG,success,,3,1.222222,183.33335,1.222222,1.833333,0.833333
day_pbf_3,M04,Moving Average,B0FG88HSWH,success,,3,0.444444,0.0,0.444444,0.0,0.0
day_pbf_3,M04,Moving Average,B0FG88ZKR1,success,,3,1.333333,83.33335,1.333333,1.0,-0.166667
day_pbf_3,M04,Moving Average,B0FG8CKTG9,success,,3,1.666667,114.285714,1.666667,0.714286,0.142857
day_pbf_3,M04,Moving Average,B0FHV8LP6S,success,,3,0.111111,0.0,0.111111,0.0,0.0
day_pbf_3,M04,Moving Average,B0FHVLLTF6,success,,3,1.0,108.33335,1.0,0.75,0.083333
day_pbf_3,M04,Moving Average,B0FHVT4MNF,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M04,Moving Average,B0FJFNH72W,success,,3,1.222222,58.333325,1.222222,0.916667,-0.416667
